id,name,plan,mrr,since_date,owner_id,status,created_at,cancel_date
91c0a5bb-49d7-467c-9456-b3ab1864fdf0,Bennett Design Associates Inc.,Starter,399,1784764800000,ffce980a-6090-482c-a11d-b7f969f696d7,active,1784826681911,
a261578d-27a6-4325-bfba-0b88e313e540,WNDR Architecture + Design Inc.,Starter,200,1784764800000,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,active,1784838071388,
0a043656-ea8d-41f9-ae51-68e93811bd9d,M3 Development Management,Starter,283,1784678400000,c6632466-befd-416f-abea-f0cfaa311ae1,active,1784749682726,
303a9f9c-31b2-4871-a3a2-ee00ac573b64,Architects Tillmann Ruth Robinson inc.,Starter,399,1785196800000,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,active,1785248864260,
01a05eb4-0709-4976-97e2-c0c437bca059,Idea Design,Starter,299,1785283200000,ffce980a-6090-482c-a11d-b7f969f696d7,active,1785357737148,
91ba477e-ec40-480b-867e-78e38b5e8749,ROHI Engineering,Starter,299,1785369600000,c6632466-befd-416f-abea-f0cfaa311ae1,active,1785430067932,
3f276bac-8ed9-473c-827b-e658ecefa10a,Tessier Design Consultants,Starter,299,1785369600000,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,active,1785439695537,
78a8b9cd-3fbe-45a4-a808-df5615582aa7,Studio VMA Inc,Starter,178,1785456000000,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,active,1785511579676,
ebaf2334-20ec-4587-8c2b-21e4a0c3a921,Geosolv,Starter,399,1785801600000,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,active,1785869204265,
042c05bf-d12b-492c-8c5f-5915409ef6ea,Green Space Alliance,Starter,299,1786320000000,ffce980a-6090-482c-a11d-b7f969f696d7,active,1786395387812,
1d328b2e-9f15-4bb7-95a2-66bd1e424df6,S2 Architects,Growth,399,1778457600000,c6632466-befd-416f-abea-f0cfaa311ae1,cancelled,1779135049059,1786320000000
204a87cb-3a84-4766-a9b1-d45602bf341a,Facility Risk Solutions,Starter,299,1787097600000,ffce980a-6090-482c-a11d-b7f969f696d7,active,1787162949076,
d58a323a-a018-4c2c-9888-fadd9f3525e6,Tony Osborn Architecture,Starter,199,1781654400000,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,cancelled,1781723066396,1786924800000
57b0195b-48d8-4d8b-bebd-e48d65f15382,Trace Architectures,Starter,199,1780876800000,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,active,1780931967539,
093091ab-e01b-40f9-a7ef-c5c6f9b55fd7,CDC Contracting,Starter,599,1786579200000,adaec509-1771-49bf-b8fb-9415601e6528,active,1786634119949,
9624c62e-a443-4eaf-a79a-fedbc9387288,BAR Engineering Co.,Starter,199,1787011200000,ffce980a-6090-482c-a11d-b7f969f696d7,active,1787081721183,
3f00e485-c548-41aa-8989-1a27ee53fcbc,CS&P Architects,Starter,399,1787011200000,c6632466-befd-416f-abea-f0cfaa311ae1,active,1787082024249,
c5290642-642c-42e5-b861-b5870fb51034,Syllable Inc.,Starter,299,1784592000000,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,cancelled,1784659722283,1787270400000
