id,rep_id,client_id,activity_type,scheduled_date,intent,status,reschedule_count,created_at,deleted_at
4c7fb48a-098a-4ab2-8de8-60b0d03bebfc,8fb47a9e-f195-434b-b8ba-966b1d165761,,demo,2026-08-27,medium,scheduled,0,2026-08-25 13:43:04.93051+00,
35d53e33-6b33-4ad5-a28b-f91e9bc78dc4,c6632466-befd-416f-abea-f0cfaa311ae1,,disc,2026-09-01,medium,scheduled,0,2026-08-25 14:08:10.241381+00,
e9342b5f-0938-4239-87c1-87defae0d552,8fb47a9e-f195-434b-b8ba-966b1d165761,,disc,2026-09-01,medium,scheduled,0,2026-08-25 14:10:52.109908+00,
b7995415-2546-450f-917d-bff95cb94b90,aae56d6d-c3b8-444a-810e-d99c54b5e95c,,disc,2026-09-01,medium,scheduled,0,2026-08-25 15:33:49.549044+00,
a84205fb-1904-4362-9627-6f05e89a9107,8fb47a9e-f195-434b-b8ba-966b1d165761,,disc,2026-08-31,medium,scheduled,0,2026-08-25 15:59:09.237807+00,
bfa15a7c-2438-47bd-9a0c-228492258e62,aae56d6d-c3b8-444a-810e-d99c54b5e95c,,disc,2026-08-28,medium,scheduled,0,2026-08-25 16:02:37.061741+00,
9d9c9c67-0eec-4dc0-bf8b-3a681d2022bd,c6632466-befd-416f-abea-f0cfaa311ae1,,disc,2026-09-01,medium,scheduled,0,2026-08-25 16:10:43.978079+00,
ce565d4b-bdbe-48a6-b5a1-5ce6872bf3c6,8fb47a9e-f195-434b-b8ba-966b1d165761,,disc,2026-09-02,medium,scheduled,0,2026-08-25 20:20:06.14324+00,
0726caeb-815c-4c82-93d9-9f5cc2ea6945,aae56d6d-c3b8-444a-810e-d99c54b5e95c,,disc,2026-09-02,medium,scheduled,0,2026-08-25 20:38:25.505631+00,
4e4289e5-855e-42b5-a004-66935f8de433,ffce980a-6090-482c-a11d-b7f969f696d7,,disc,2026-09-01,medium,scheduled,0,2026-08-25 20:47:38.687095+00,
