id,date_key,item_id,rep_id,checked_at
5134ce7a-088b-4567-b52e-3ddcd8f31055,2026-06-09,pm-1-2,ffce980a-6090-482c-a11d-b7f969f696d7,1781042643143
04bd91ba-59d4-4690-87e1-f1ab128c9a22,2026-06-10,lm-1,ffce980a-6090-482c-a11d-b7f969f696d7,1781100302138
d758ac1d-387b-44da-8dee-dcb877415d3a,2026-06-10,lm-2,ffce980a-6090-482c-a11d-b7f969f696d7,1781100302502
d1750857-6351-438c-8118-2c1539e58084,2026-06-10,lm-1,c6632466-befd-416f-abea-f0cfaa311ae1,1781127286462
325dc05a-89a4-4f41-99d5-144194142293,2026-06-10,lm-2,c6632466-befd-416f-abea-f0cfaa311ae1,1781127286949
ec381f11-1a31-433a-a460-f8c5ec4ad0c5,2026-06-10,pm-1,c6632466-befd-416f-abea-f0cfaa311ae1,1781127287257
98d8d197-ffe8-464b-ae22-399746bdf34e,2026-06-10,pm-1-2,c6632466-befd-416f-abea-f0cfaa311ae1,1781127288096
1d8c70e0-8e5a-4f05-87d4-5d1590a4715d,2026-06-10,pm-1-4,c6632466-befd-416f-abea-f0cfaa311ae1,1781127290990
c89c0cbe-ac84-481b-9b7e-0087ff540ccd,2026-06-11,lm-1,ffce980a-6090-482c-a11d-b7f969f696d7,1781188334166
bb6651e7-2136-4b61-ad0e-c897bdb9d76e,2026-06-11,lm-2,ffce980a-6090-482c-a11d-b7f969f696d7,1781188334390
551aa4e2-3007-4505-9ae2-f6d1f8ec5d3e,2026-06-16,lm-1,ffce980a-6090-482c-a11d-b7f969f696d7,1781640772517
3f6dfcfd-1b8a-4a86-8004-f2a0f1272a42,2026-06-16,lm-2,ffce980a-6090-482c-a11d-b7f969f696d7,1781640772708
6d41a483-7ec9-4b87-b853-c41884172038,2026-06-01,lm-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1780325528533
6ec3186d-8d0a-4f66-bce7-9c0e21de8d32,2026-06-01,lm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1780325528946
35051dd5-6654-427a-8add-2683321e4259,2026-06-03,lm-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1780496767609
0ff08157-fd03-4d89-bcbd-421fbea852a4,2026-06-03,lm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1780496769570
e6a08dfc-1a5f-496e-ae28-8783b676817e,2026-06-04,lm-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1780582784582
68d3dc40-8433-4354-b54f-5c2c27a1475a,2026-06-04,lm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1780582784874
9d2528ae-4d48-43f0-b734-0dc5ebc7b540,2026-06-05,lm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1780667850971
f739c7e3-ee52-4c96-b48f-02382978fef1,2026-06-05,lm-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1780667851269
b468e99a-6945-4206-9c18-f05b63c059a6,2026-06-08,lm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1780928551271
1f7a9cf2-0864-4320-9703-344874993fc8,2026-06-09,lm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1781012142287
9c480db5-6343-44ec-8b4b-077ee71443fa,2026-06-09,lm-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1781014152671
1d93a9ab-aa5f-4419-b2a5-706cd037aa6d,2026-06-19,lm-1,c6632466-befd-416f-abea-f0cfaa311ae1,1781901027129
b684b273-ba13-4ca7-a7c4-5afe41198b31,2026-06-19,lm-2,c6632466-befd-416f-abea-f0cfaa311ae1,1781901027759
d05afc1f-1b28-4303-9239-e9040dda003b,2026-06-19,ps-1,c6632466-befd-416f-abea-f0cfaa311ae1,1781901039462
11cb5d5a-1da8-42d1-9e31-0ba448d0f3d0,2026-06-19,ps-2,c6632466-befd-416f-abea-f0cfaa311ae1,1781901040154
476dc1b9-d30a-4cb8-8ab4-30d0643d9458,2026-06-19,lm-1,ffce980a-6090-482c-a11d-b7f969f696d7,1781901167449
7b3c9c39-c1dc-4474-ae26-cb301ee36aff,2026-06-19,lm-2,ffce980a-6090-482c-a11d-b7f969f696d7,1781901168000
fc1c3940-0358-44e9-97ef-a32730b8cb3d,2026-06-19,pm-1,ffce980a-6090-482c-a11d-b7f969f696d7,1781901176946
42d35222-8189-43f0-abeb-0edcddf3ff67,2026-06-19,pm-3,ffce980a-6090-482c-a11d-b7f969f696d7,1781901325527
0ea050b6-b500-4664-82a8-d4fc5d609867,2026-06-19,pm-2,ffce980a-6090-482c-a11d-b7f969f696d7,1781901612131
d036e064-f939-4b22-aba9-6e3de203621b,2026-06-19,pm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1781901636809
b486edd0-cb04-40e3-bdf1-83b094013af2,2026-06-19,pm-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1781901638269
d2f79772-384b-4edd-867b-8d96d3f8965f,2026-06-19,pm-3,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1781901640866
25876d1c-04a3-41af-98b4-e28bbe538423,2026-06-19,pm-5,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1781901643778
fa3e5632-275b-4e69-95e9-4cfea898c223,2026-06-19,pm-6,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1781901649513
f7214aa3-e3e9-4898-a408-17e3592e661d,2026-06-19,pm-6,ffce980a-6090-482c-a11d-b7f969f696d7,1781901666196
9a2a99db-ce00-42c7-a421-91c1ba7e74cb,2026-06-19,ps-1,ffce980a-6090-482c-a11d-b7f969f696d7,1781901685513
f883deb7-8879-4ae1-858d-1428f5aaa899,2026-06-19,ps-2,ffce980a-6090-482c-a11d-b7f969f696d7,1781901685995
dbe9a28c-af5c-4e8f-b02b-7609cee007ee,2026-06-19,ps-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1781901688908
3f41811d-0445-4008-a850-f290d2903045,2026-06-19,ps-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1781901689719
fb7468f5-9180-4888-9538-efb8e524c5ac,2026-06-19,lm-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1781901690972
c04f84a4-4bb0-4b67-a583-607d63bcc642,2026-06-19,lm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1781901691637
76a69a15-4c2e-4718-a0c8-1740ed70ef97,2026-06-19,pm-1,c6632466-befd-416f-abea-f0cfaa311ae1,1781902021168
5a42d200-fd98-4f56-aa02-8a94c3f5d774,2026-06-19,pm-4,ffce980a-6090-482c-a11d-b7f969f696d7,1781902039277
7bbac4c4-eea8-4ba0-89da-6e46e100f2a8,2026-06-19,pm-4,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1781902051091
c3e6be5b-cb67-4e07-af18-acd95de2c8ea,2026-06-19,pm-2,c6632466-befd-416f-abea-f0cfaa311ae1,1781903810198
df2b6960-2d55-49c7-a61b-bf96bcdcfc36,2026-06-19,pm-3,c6632466-befd-416f-abea-f0cfaa311ae1,1781903812177
90a19f3d-c51b-4383-a4b0-3622601bed48,2026-06-19,pm-4,c6632466-befd-416f-abea-f0cfaa311ae1,1781903816237
995df008-dd3c-475c-87c4-b3cb8f01a0ce,2026-06-19,pm-5,ffce980a-6090-482c-a11d-b7f969f696d7,1781903959759
de607558-f2a2-4227-867f-f0905ff0d133,2026-06-19,pm-6,c6632466-befd-416f-abea-f0cfaa311ae1,1781904178547
b16001f0-9fc2-48ac-808a-5a4d494342a6,2026-06-19,pm-5,c6632466-befd-416f-abea-f0cfaa311ae1,1781904420984
699ebf41-af3b-4c7b-bba5-f72cf9111353,2026-06-22,lm-1,ffce980a-6090-482c-a11d-b7f969f696d7,1782134668831
